id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
642660,BEST CITY LIVING WITH GA RESIDENCE,3212572,Roger,Central Region,Rochor,1.30096,103.85206,Private room,163,180,0,,,1,365,0,
696136,Quiet ensuite room in Holland Village,1289033,Grace,Central Region,Bukit Timah,1.30938,103.79812,Private room,100,92,28,2017-08-12,0.24,1,91,0,
733863,Homestay at Serangoon,3824517,Shirlnet,North-East Region,Serangoon,1.36926,103.87312,Private room,26,180,0,,,1,365,0,
747813,Fantastic Serviced Apartment in the Singapore CBD,3926646,John,Central Region,Downtown Core,1.27663,103.84498,Private room,119,92,72,2019-02-27,0.63,4,358,0,
747816,Fantastic Serviced Apartment in the Singapore CBD,3926646,John,Central Region,Downtown Core,1.27585,103.84597,Private room,119,92,26,2018-09-14,0.23,4,365,0,
756267,East Coast Boutique,1584407,Richard,Central Region,Marine Parade,1.30416,103.90076,Private room,250,92,70,2020-10-12,0.62,4,0,0,
765579,Chinatown@doorstep: *Queenbed Rm 89C (Not Tourist),2413412,Kaurus,Central Region,Outram,1.2841,103.84253,Private room,69,92,2,2019-08-11,0.02,83,331,0,
815685,Awesome Yellow Room in the City! Near Orchard Rd!,1439258,Joyce,Central Region,Bukit Merah,1.29065,103.80941,Private room,40,14,14,2019-10-10,0.13,26,280,0,S0399
819034,Boutique 2 Bedroom Apartment,1584407,Richard,Central Region,Marine Parade,1.30492,103.90315,Entire home/apt,300,92,40,2019-12-25,0.36,4,0,0,
819044,East Coast Hideaway,1584407,Richard,Central Region,Marine Parade,1.30425,103.90097,Private room,150,92,71,2020-07-12,0.63,4,0,0,
823571,Apartment away from town,4177147,Tania,East Region,Bedok,1.31313,103.91479,Private room,272,92,0,,,1,0,0,
833289,Warm hospitality Italian style,4360831,Laura,Central Region,Bukit Merah,1.27716,103.82299,Private room,150,92,2,2019-01-25,0.03,1,270,0,
881253,Chinatown Doorstep! *Ensuite1+1 (Not for Tourist),2413412,Kaurus,Central Region,Outram,1.28485,103.84317,Private room,79,92,3,2018-03-09,0.03,83,86,0,
881683,Cozy Room 30 mins from City Center,4602014,F,North-East Region,Hougang,1.36971,103.89938,Private room,47,92,10,2017-06-13,0.09,1,234,0,
944287,Single Bedroom for single pax,2487671,Sheen,West Region,Bukit Batok,1.34403,103.75534,Private room,61,92,7,2017-08-31,0.09,1,365,0,
982909,Cozy Sunset Home @Central Area,4723385,Yuan,Central Region,Novena,1.33389,103.83454,Entire home/apt,120,92,247,2020-07-30,2.26,1,157,0,
1024986,Super Host Apartment,5643415,Martin,Central Region,River Valley,1.29245,103.83742,Entire home/apt,181,92,260,2022-01-14,2.54,1,365,28,
1210268,3BR (For 5)Apt Orchard/Stevens/UNESCO *MRT* Sui #2,6609641,Catherine,Central Region,Tanglin,1.31633,103.827194,Entire home/apt,400,7,45,2021-04-25,0.45,19,216,1,Authorised Serviced Apartment
1229614,NEWLY RENOVATED 1 Bedrm Apt Orchard/Stevens #12,6609641,Catherine,Central Region,Tanglin,1.31562,103.82807,Entire home/apt,250,7,39,2021-12-09,0.38,19,179,4,Authorised Serviced Apartment
1233249,2BR (For 3) Apt Orchard/Stevens/UNESCO *MRT* #1,6609641,Catherine,Central Region,Tanglin,1.31713,103.8265,Entire home/apt,284,7,36,2021-10-23,0.35,19,197,3,Authorised Serviced Apartment
1244654,kAwesome view! Ensuite M208 (Not For Tourist),2413412,Kaurus,Central Region,Outram,1.2838,103.84265,Private room,69,92,4,2016-10-18,0.06,83,331,0,
1261443,Great viewC Ensuite1+1@CBD/Chinatown (Not-Tourist),2413412,Kaurus,Central Region,Outram,1.28458,103.84311,Private room,79,92,3,2017-12-02,0.05,83,331,0,
1302185,"1-5pax Paya Lebar MRT, Sentosa, MBS, Orchard, City",7080517,Ruth Mandy,Central Region,Geylang,1.31632,103.888,Entire home/apt,109,92,91,2021-07-31,0.86,4,261,2,
1363204,Chinatown at your door: Master Rm* attach bathroom,2413412,Kaurus,Central Region,Outram,1.28386,103.84238,Private room,69,92,3,2016-10-14,0.03,83,331,0,
1495386,Private room with balcony nr beach,7993224,Violet,East Region,Pasir Ris,1.37975,103.94375,Private room,80,92,10,2021-11-24,0.10,1,365,1,
1508829,Lavender QueenBed *rmFr: 5m walk MRT,2413412,Kaurus,Central Region,Kallang,1.3072,103.86359,Private room,59,92,9,2021-05-23,0.09,83,86,1,
1562453,Deluxe Quad-sharing room,8270362,Domus,Central Region,Novena,1.32359,103.8498,Private room,30,108,0,,,1,0,0,
1581224,Life Impact Coaching,8408341,Gerard,Central Region,Kallang,1.31108,103.87374,Entire home/apt,130,96,0,,,1,365,0,
1611318,"Central Condo, reasonable price",8580110,Betty,Central Region,Bukit Merah,1.28419,103.82765,Private room,60,183,0,,,1,0,0,
1615074,AweSome view! Ensuite 1+1 @Chinatown,2413412,Kaurus,Central Region,Outram,1.2841,103.84253,Private room,79,92,5,2021-06-25,0.10,83,331,1,
1643945,Private Bedroom from Semi-D,8725237,Soh,North-East Region,Ang Mo Kio,1.39088,103.85303,Private room,216,92,0,,,1,0,0,
1646909,"Cozy room, convenient location",8739736,Serene,West Region,Bukit Batok,1.34126,103.75992,Private room,80,92,0,,,1,0,0,
1654840,3-person Bunk/Loft Bed Pte Room,8773916,Superb Hostel,Central Region,Rochor,1.30292,103.858,Private room,90,92,2,2018-01-02,0.03,7,0,0,
1678744,Ladies-Only Shared Room @ Chinatown,8881470,Wink,Central Region,Outram,1.28405,103.84424,Shared room,63,92,150,2020-01-31,1.48,5,275,0,
1678754,Private Room for 6pax @ Chinatown,8881470,Wink,Central Region,Outram,1.28405,103.84424,Hotel room,378,92,2,2018-03-11,0.03,5,275,0,
1678755,Mixed Shared Room @ Chinatown,8881470,Wink,Central Region,Outram,1.28405,103.84424,Hotel room,63,92,93,2020-01-31,0.94,5,275,0,
1710048,Fireworks view8! highrise Ensuite,8948251,Joey,Central Region,Outram,1.28466,103.84255,Private room,69,92,0,,,63,331,0,
1833950,Studio Apt Orchard/Stevens Area #2,6609641,Catherine,Central Region,Tanglin,1.31572,103.82702,Entire home/apt,225,7,29,2022-01-15,0.29,19,240,1,Authorised Serviced Apartment
1838622,Beautifully renovated cosy room,2999297,Jimmy,East Region,Bedok,1.31805,103.92361,Private room,95,92,0,,,3,365,0,
1900478,"aljunied solo Mini *Ensuite, 3 min walk MRT",2413412,Kaurus,Central Region,Geylang,1.31612,103.88343,Private room,59,92,1,2017-03-25,0.02,83,361,0,
1902729,"Modest, clean & comfy, easy to city",7644641,Jin,East Region,Bedok,1.3209,103.91569,Private room,49,92,3,2016-05-13,0.03,3,173,0,
1902793,"Large,  clean & comfy, easy to city",7644641,Jin,East Region,Bedok,1.32204,103.92125,Private room,60,92,2,2016-05-04,0.03,3,87,0,
1941719,Fantastic Serviced Apartment in the Singapore CBD,3926646,John,Central Region,Downtown Core,1.27525,103.84524,Private room,119,92,77,2019-04-25,0.78,4,358,0,
2009008,"Modest, clean & comfy, easy to city",7644641,Jin,East Region,Bedok,1.32301,103.92211,Private room,68,92,5,2015-03-22,0.05,3,174,0,
2024941,Cosy Double room in a Terrace House,2999297,Jimmy,East Region,Bedok,1.31963,103.924,Private room,95,92,0,,,3,0,0,
2030663,Singapore Room n Central Balestier!,9900768,David,Central Region,Novena,1.32453,103.85255,Private room,343,92,2,2014-07-19,0.02,2,174,0,
2033483,"★2+1condo next to MRT, mall & more★",9497281,Skye,West Region,Choa Chu Kang,1.38786,103.74341,Entire home/apt,95,92,0,,,1,363,0,
2095865,"Clean room, minutes to MRT & shops",10691920,Sam & Jenny,West Region,Choa Chu Kang,1.38799,103.74461,Private room,54,92,29,2015-03-15,0.29,1,116,0,
2129215,Luxuriously Spacious Studio Apt.,7642747,Shirley,East Region,Bedok,1.31936,103.91663,Entire home/apt,139,92,369,2020-03-31,3.69,1,300,0,
2142826,Singapore Room for Rent!,9900768,David,Central Region,Novena,1.32485,103.85143,Private room,929,160,21,2016-09-30,0.23,2,181,0,
2156372,"Cozy, Many Guests Loved It Here",6157422,Regina,North-East Region,Hougang,1.36722,103.89765,Private room,50,92,14,2021-04-17,0.16,2,255,1,
2320536,Single Room at Woodlands,11851304,Ammarudin,North Region,Woodlands,1.44076,103.77626,Private room,30,183,5,2014-07-14,0.05,1,0,0,
2351979,Tribeca Robertson Quay (new 1br),11990154,Chelsea,Central Region,Singapore River,1.29182,103.83496,Entire home/apt,150,365,0,,,1,365,0,
2547370,Happy Snail Hostel - 4 person Room,13043889,Happysnail,Central Region,Rochor,1.30154,103.85941,Private room,110,92,2,2020-01-03,0.05,2,0,0,
2691621,"Sofa couch, near Orchard/Holland",581033,Nicholas,Central Region,Queenstown,1.30692,103.8007,Shared room,75,92,0,,,1,365,0,
2838555,1 Bedroom with Balcony suite (Walk to Aljunied MRT,14521708,Shirley,Central Region,Geylang,1.31403,103.88604,Entire home/apt,80,180,61,2020-04-14,0.64,15,180,0,
2922184,10 Min Walk to HawParVilla MRT - INSEAD (A),1439258,Joyce,Central Region,Queenstown,1.2805,103.78439,Private room,65,15,15,2022-01-02,0.20,26,348,3,S0399
2959811,Central quiet serviced master bedroom (>3 months),15067769,Dominique,Central Region,Orchard,1.30085,103.84318,Private room,80,92,0,,,1,332,0,
3034137,Cozy 1 BD linked to MRT (Heartland),4422603,Rosanna,North-East Region,Hougang,1.35956,103.88423,Private room,87,92,9,2019-07-27,0.10,1,271,0,
3075620,Everything You Need in Singapore,7044509,Katherine,Central Region,Museum,1.29973,103.84658,Private room,110,92,7,2020-06-05,0.08,2,331,0,
3078453,5 mins walk to MRT. Very near city.,15666562,Yeo,Central Region,Toa Payoh,1.33781,103.86901,Entire home/apt,280,92,6,2015-09-25,0.07,1,365,0,
3209752,"Modern Rm near Airport, Expo, SUTD, Changi BizPark",16262927,Jeremy,East Region,Tampines,1.34806,103.95858,Private room,98,92,13,2020-03-02,0.42,1,365,0,
3304326,"Furnishied Room Near Airport, Changi BizPark, SUTD",16689958,S,East Region,Tampines,1.34798,103.9617,Private room,89,92,10,2018-06-02,0.11,1,362,0,
3349976,Private Room - min.6months,14297490,Flora,East Region,Pasir Ris,1.36449,103.95931,Private room,80,180,0,,,1,0,0,
3667894,Chinatown at your door: Master Rm attach bathroom,2413412,Kaurus,Central Region,Outram,1.28424,103.84275,Private room,69,92,2,2019-10-29,0.06,83,331,0,
3717196,DORMS - In the heart of Chinatown!,17526618,Royal,Central Region,Outram,1.28497,103.84341,Hotel room,31,92,18,2018-10-07,0.20,5,365,0,
3790364,Spacious and Furnished 1 Bedroom Apartment,14521708,Shirley,Central Region,Geylang,1.3134,103.88646,Entire home/apt,82,180,26,2019-09-27,0.29,15,180,0,
3802621,1-person Bunk Bed Private Room,8773916,Superb Hostel,Central Region,Rochor,1.30376,103.85923,Private room,58,92,20,2018-02-10,0.26,7,0,0,
3803160,3-person Bunk Bed Private Room,8773916,Superb Hostel,Central Region,Rochor,1.30171,103.85959,Private room,90,92,6,2017-07-29,0.07,7,0,0,
3859180,Ground floor 1 Bedroom Unit,14521708,Shirley,Central Region,Geylang,1.31403,103.8864,Entire home/apt,64,180,81,2020-01-27,0.88,15,179,0,
3863231,1 Bedroom Suite with balcony,14521708,Shirley,Central Region,Geylang,1.31571,103.88657,Entire home/apt,85,180,67,2021-02-26,0.72,15,180,0,
3980202,1-person Bunk Bed Private Room,8773916,Superb Hostel,Central Region,Rochor,1.30148,103.85813,Private room,58,92,28,2018-08-26,0.31,7,0,0,
3981252,Ultra convenient Condo close to MRT,20636569,Chris,East Region,Bedok,1.31786,103.9059,Private room,88,92,2,2019-09-23,0.02,1,362,0,
3990431,1-person Bunk Bed Private Room,8773916,Superb Hostel,Central Region,Rochor,1.30348,103.85969,Private room,58,92,10,2017-12-14,0.12,7,0,0,
4013186,Cosy Room right in the City town.,20049904,Lenneth,Central Region,Outram,1.27795,103.84109,Private room,950,180,0,,,2,0,0,
4017084,Masterbedroom for rent (Central),20785714,Yock Lian,Central Region,Outram,1.28172,103.84074,Private room,50,180,0,,,1,365,0,
4026199,2BR (For 4) Apt Orchard/Stevens/UNESCO *MRT* #2,6609641,Catherine,Central Region,Tanglin,1.31595,103.8269,Entire home/apt,295,7,36,2021-12-30,0.39,19,205,2,Authorised Serviced Apartment
4054698,DORMS - In the heart of Chinatown!,17526618,Royal,Central Region,Outram,1.28268,103.84463,Hotel room,31,92,49,2020-01-01,0.55,5,365,0,
4069756,DORMS - In the heart of Chinatown!,17526618,Royal,Central Region,Outram,1.283,103.84344,Hotel room,31,92,21,2019-11-19,0.23,5,365,0,
4138944,Studio Apt Orchard/Stevens Area #1,6609641,Catherine,Central Region,Tanglin,1.316,103.8281,Entire home/apt,225,7,60,2021-12-23,0.66,19,236,3,Authorised Serviced Apartment
4192138,Penthouse with Private Jacuzzi,23666,Maryanne,Central Region,Kallang,1.31629,103.84942,Entire home/apt,260,92,122,2019-08-31,1.35,2,304,0,
4360679,Simple Private Room for Two,20883050,Alvin,Central Region,Geylang,1.3111,103.8812,Private room,64,92,133,2020-03-13,1.48,27,0,0,
4360902,"Queen Room , 5 mins from MRT",20883050,Alvin,Central Region,Geylang,1.31161,103.88124,Private room,64,92,210,2020-02-20,2.34,27,0,0,
4380000,Prime Orchard Master Near Somerset,11390076,Tryston,Central Region,Newton,1.30689,103.83834,Private room,101,93,8,2020-01-27,0.09,10,364,0,
4441346,Penthouse Studio w/ City & Sea View for Long Term,23053315,Chew Nam,Central Region,Kallang,1.29997,103.88536,Entire home/apt,105,92,5,2020-01-31,0.06,1,270,0,
4450681,2BR (For 3) Apt Orchard/Stevens/UNESCO *MRT* #2,6609641,Catherine,Central Region,Tanglin,1.31633,103.827194,Entire home/apt,279,7,17,2021-12-18,0.19,19,221,1,Authorised Serviced Apartment
4486217,Sub-urban Singapore Resort Living,23276884,Faith,North-East Region,Serangoon,1.38763,103.86942,Entire home/apt,106,92,9,2018-07-31,0.10,1,89,0,
4499317,Seah Premium Loft (Staycation Approved),23336011,Heritage,Central Region,Downtown Core,1.29489,103.85401,Private room,174,1,125,2022-01-31,1.39,55,355,8,S0448
4526703,City room with Bay and sea view,23466247,Willy,Central Region,Kallang,1.30778,103.86171,Private room,150,100,6,2018-06-02,0.07,2,365,0,
4530362,If you do not have a CAR...,22316022,Cheryl,Central Region,Outram,1.28129,103.84591,Private room,160,180,0,,,1,365,0,
4541072,Condo-4 MRT-stops-to-Orchard-15 min,11390076,Tryston,Central Region,Toa Payoh,1.34081,103.84165,Private room,76,93,16,2019-10-15,0.22,10,316,0,
4541183,Boat Quay Studio Premium River View (South bridge),23336011,Heritage,Central Region,Singapore River,1.28816,103.84826,Entire home/apt,186,1,234,2022-03-19,2.62,55,360,28,Authorised Serviced Apartment
4561484,Cosy 1 bedroom apartment (Aljunied MRT),14521708,Shirley,Central Region,Geylang,1.31382,103.88587,Entire home/apt,70,180,62,2021-04-13,0.72,15,180,1,
4576362,Cozy Apt home away from home,23722617,Alex,Central Region,Geylang,1.31369,103.88617,Entire home/apt,90,92,77,2020-03-08,0.86,76,89,0,
4584539,Master bed room for 3,20883050,Alvin,Central Region,Geylang,1.31015,103.88134,Private room,90,92,87,2020-02-07,0.98,27,0,0,
4613432,Nicely furnished apt close to City,23722617,Alex,Central Region,Geylang,1.31365,103.88608,Entire home/apt,88,92,27,2020-01-27,0.30,76,90,0,
4616523,Cozy apartment near the city,23722617,Alex,Central Region,Geylang,1.31334,103.88655,Entire home/apt,65,92,97,2022-01-29,1.09,76,90,2,
4640273,索美赛River Valley,24025713,莉,Central Region,River Valley,1.29887,103.83603,Private room,160,92,0,,,1,0,0,
4645834,Hotel concept rooms in apartment,20883050,Alvin,Central Region,Geylang,1.30962,103.88173,Private room,64,92,50,2020-02-08,0.57,27,0,0,
4656316,EverGreen Residences,20883050,Alvin,Central Region,Geylang,1.31102,103.88332,Private room,64,92,49,2020-01-20,0.56,27,0,0,
4664392,CS S3 Central studio with private bath & kitchen!,7095710,Elise,Central Region,Outram,1.28135,103.84868,Entire home/apt,105,92,103,2022-01-05,1.17,11,247,9,
4683314,3BR (For 5)Apt Orchard/Stevens/UNESCO *MRT* Sup,6609641,Catherine,Central Region,Tanglin,1.31633,103.827194,Entire home/apt,345,7,28,2022-03-19,0.32,19,196,4,Authorised Serviced Apartment
4712676,Homestay- Deluxe Room with SEALY-King Bed + B'fast,24353373,Jeff,North-East Region,Ang Mo Kio,1.36747,103.83865,Private room,58,180,2,2016-05-16,0.02,1,250,0,
4722005,Walking Distance to MRT,23994004,Orion,North Region,Sembawang,1.45328,103.82199,Private room,20,180,0,,,1,0,0,
4771752,Everything You Need in SG - Room 2,7044509,Katherine,Central Region,Rochor,1.3004,103.84994,Private room,110,92,4,2016-07-31,0.05,2,331,0,
4833408,Ironsmith's Home,24856495,Ironsmith,East Region,Bedok,1.3236,103.90854,Private room,40,92,124,2019-07-28,1.41,1,364,0,
4863317,highrise heritage queenbed RmA1 (Not TOurist),8948251,Joey,Central Region,Outram,1.28511,103.84249,Private room,69,92,1,2016-12-01,0.02,63,331,0,
4869221,Fireworks view* Ensuite+LivingRm (Not for Tourist),8948251,Joey,Central Region,Outram,1.28563,103.84212,Private room,79,92,2,2018-02-01,0.03,63,86,0,
4899063,Singapore Student Homestay,25215454,Don,Central Region,Toa Payoh,1.33305,103.87235,Shared room,46,180,0,,,1,0,0,
4916186,Convenient apt home away from home,23722617,Alex,Central Region,Geylang,1.31505,103.88746,Entire home/apt,90,92,24,2021-04-25,0.28,76,90,1,
4926170,Room 4B in Terrace House @ Thomson Village,25375339,ｼﾝ,Central Region,Bishan,1.35349,103.83274,Private room,45,92,4,2020-02-14,0.09,8,364,0,
4926192,Common Room @ Boon Keng,25375339,ｼﾝ,Central Region,Kallang,1.316,103.86134,Private room,150,92,0,,,8,0,0,
4926634,Master Room With Balcony for 3,20883050,Alvin,Central Region,Geylang,1.31113,103.88132,Private room,90,92,168,2020-02-03,1.92,27,0,0,
4969777,New!!! Cozy 1 Bedroom Apt in the City,23722617,Alex,Central Region,River Valley,1.29587,103.84065,Entire home/apt,98,92,6,2019-03-27,0.07,76,89,0,
4973227,Boat Quay Studio Apartment (South bridge Wing),23336011,Heritage,Central Region,Downtown Core,1.28945,103.84879,Entire home/apt,164,1,119,2021-12-18,1.38,55,363,5,Authorised Serviced Apartment
4978175,Cat Lovers: Quaint Vintage House,25668648,Ling,East Region,Bedok,1.33203,103.94396,Private room,1000,92,0,,,1,358,0,
4979889,NEWLY RENOVATED Studio Orchard/Stevens MRT #38,6609641,Catherine,Central Region,Tanglin,1.31732,103.82643,Entire home/apt,185,7,25,2022-01-22,0.29,19,211,4,Authorised Serviced Apartment
4989903,HVIr2-Holland Village Condo,25185912,Rebekah,Central Region,Bukit Timah,1.31262,103.79717,Private room,64,92,5,2016-04-23,0.06,9,346,0,
4990392,Cosy Apartment for Rent,20883050,Alvin,Central Region,Geylang,1.31149,103.88161,Private room,64,92,81,2020-02-10,0.93,27,0,0,
5024661,2 Bedroom unit near the City,23722617,Alex,Central Region,Geylang,1.31505,103.88627,Entire home/apt,120,92,78,2021-08-14,0.92,76,91,3,
5040689,Exquisite & cosy room for rental,11463785,Dianne,North-East Region,Ang Mo Kio,1.37165,103.82881,Private room,38,92,3,2018-02-17,0.05,7,308,0,
5052014,Modern Serviced Studio in CBD w MRT,13468566,Andy,Central Region,Outram,1.27428,103.84133,Entire home/apt,149,6,9,2021-12-21,0.11,6,351,2,Authorised Serviced Apartment
5116961,ROOM in magazine-featured apt,4430782,Ethan,Central Region,Bukit Merah,1.28366,103.83188,Private room,165,92,2,2017-12-22,0.02,1,264,0,
5118006,Evergreen Residences 2,20883050,Alvin,Central Region,Geylang,1.31154,103.88165,Private room,64,92,67,2020-02-01,0.77,27,0,0,
5233415,Furnished CBD Serviced Studio w MRT,13468566,Andy,Central Region,Bukit Merah,1.27619,103.84074,Entire home/apt,149,6,13,2022-01-21,0.16,6,325,2,Authorised Serviced Apartment
5253599,Exquisite Balinese studio for rent,11463785,Dianne,Central Region,Kallang,1.3171,103.85742,Entire home/apt,72,92,12,2020-03-02,0.14,7,330,0,
5319766,Large Master Bedroom with ensuite,27516195,Leanne,Central Region,Outram,1.28185,103.84657,Private room,160,365,0,,,1,0,0,
5339318,2br Orchard Rd condo on Sophia Hill,2235699,Yin,Central Region,Rochor,1.30358,103.84575,Entire home/apt,223,92,3,2015-11-09,0.04,2,303,0,
5406502,Cozy clean room in a breezy condo,28022338,Bill,East Region,Bedok,1.31279,103.93821,Private room,78,92,0,,,1,363,0,
5436010,LUXE Series Executive Guest Room,26876731,Lynelle,North Region,Yishun,1.41423,103.83382,Private room,66,92,0,,,1,239,0,
5446857,Large & luxury Studio in CBD/MRT,13468566,Andy,Central Region,Bukit Merah,1.27626,103.84073,Entire home/apt,228,6,3,2019-09-29,0.06,6,363,0,Authorised Serviced Apartment
5448209,"CBD Studio: spacious, serviced, MRT",13468566,Andy,Central Region,Bukit Merah,1.2744,103.84063,Entire home/apt,200,6,7,2020-01-30,0.09,6,313,0,Authorised Serviced Apartment
5464246,"1min walk to MRT, 1Double Bed for 1-2px,Quiet&Cosy",26899710,Sebastian,Central Region,Geylang,1.32812,103.88436,Private room,111,92,11,2020-01-26,0.14,2,364,0,
5493930,Luxurious En Suite 1 Near Orchard,28489587,Anita & David,Central Region,Novena,1.3174,103.84796,Private room,102,92,266,2020-02-15,3.10,3,147,0,
5494971,Grand En Suite 2 Near Orchard,28489587,Anita & David,Central Region,Novena,1.31778,103.84769,Private room,99,92,209,2020-02-23,2.45,3,208,0,
5504230,Family Apartment in Central - min walk to 3 MRTs,21149720,Mike,Central Region,Kallang,1.30933,103.85843,Entire home/apt,231,92,9,2018-04-20,0.11,16,365,0,
5529062,600sqft New York Bachelor Suite. SG,28378691,Leon,Central Region,Bukit Merah,1.27513,103.83581,Entire home/apt,500,92,0,,,1,365,0,
5551665,"HVIr1-Holland Village Condo, 1 min away from MRT",25185912,Rebekah,Central Region,Bukit Timah,1.31269,103.79714,Private room,59,92,18,2021-09-12,0.21,9,364,1,
5573458,"Amazing MasterBed Room, mins to MRT",28809566,Property,North Region,Sembawang,1.44061,103.82386,Private room,204,92,3,2017-07-06,0.04,5,364,0,
5584157,Best Value+Service In Town! All guest loves it!,28954164,Michelle,North Region,Woodlands,1.44162,103.79304,Private room,38,93,112,2021-04-12,1.33,3,324,1,
5609608,Very Cozy  House With Housekeeping+Laundry Service,28954164,Michelle,North Region,Woodlands,1.44349,103.79264,Private room,38,92,69,2021-01-31,0.82,3,329,0,
5634851,Beautiful Balinese studio,11463785,Dianne,Central Region,Kallang,1.31486,103.85689,Entire home/apt,85,92,3,2016-06-08,0.04,7,339,0,
5704432,My Crib,28106320,Jeremy,Central Region,Toa Payoh,1.3356,103.86592,Shared room,300,92,0,,,1,0,0,
5739284,Nice & Cozy Studio near the City,23722617,Alex,Central Region,Geylang,1.31304,103.88797,Entire home/apt,82,92,42,2021-10-16,0.50,76,90,1,
5774164,Entire Apartment -Terrace Pool Gym,20639706,Max,Central Region,Geylang,1.31315,103.881,Entire home/apt,1600,92,8,2017-09-21,0.09,1,365,0,
5786355,Small room(ladies only) 3min walk to Boon Keng MRT,29985148,Azreen,Central Region,Kallang,1.32102,103.86237,Private room,19,92,6,2018-04-04,0.07,1,147,0,
5798211,The Studio Suite,30080617,Eddie,East Region,Tampines,1.34571,103.96073,Private room,70,92,151,2019-07-10,1.84,5,308,0,
5819462,standard room with air conditioner,20712244,Huan,North-East Region,Sengkang,1.38777,103.89649,Shared room,121,92,0,,,1,0,0,
5827713,The Private Sanctuary,30080617,Eddie,East Region,Tampines,1.3464,103.96256,Private room,70,92,286,2021-07-30,3.40,5,273,1,
5827998,The Lily Room,30080617,Eddie,East Region,Tampines,1.3446,103.96223,Private room,60,92,296,2019-06-28,3.49,5,181,0,
5854894,"FS C1 central Farrer Park, heritage Common room.",7095710,Elise,Central Region,Kallang,1.31428,103.85542,Private room,48,92,23,2021-11-05,0.29,11,230,5,
5882204,Minimum 90 days rental,30542551,Allendgs,East Region,Bedok,1.3212,103.91483,Private room,176,92,0,,,1,0,0,
5889741,Entire Home in the Heart of City,5365111,Y,Central Region,Rochor,1.30153,103.85344,Entire home/apt,172,92,212,2021-12-03,2.51,1,156,3,
5906219,Spacious 2 Rms Loft in CBD Tanjong Pagar MRT 市区公寓,30613375,Qing,Central Region,Downtown Core,1.27513,103.84384,Entire home/apt,220,92,23,2017-10-25,0.27,2,98,0,
